Accuracy,Misprediction Rate,F1,Runtime,Size,Tracefile,Predictor
0.8238999999999999,17.610000000000003,0.8271,1.7419999999999998,131136.0,gcc_trace.txt,YehPatt
0.6018999999999999,39.81,0.5795000000000001,1.7569999999999997,16.0,gcc_trace.txt,YehPatt
0.6117999999999999,38.82,0.5941,1.75,48.0,gcc_trace.txt,YehPatt
0.6359000000000001,36.40999999999999,0.6204,1.7549999999999997,152.0,gcc_trace.txt,YehPatt
0.6674,33.26,0.6563,1.751,544.0,gcc_trace.txt,YehPatt
0.7024999999999999,29.75,0.6929999999999998,1.752,2208.0,gcc_trace.txt,YehPatt
0.731,26.9,0.7252,1.738,8384.0,gcc_trace.txt,YehPatt
0.7545,24.550000000000004,0.7527999999999999,1.7289999999999999,32992.0,gcc_trace.txt,YehPatt
0.7747,22.53,0.7785,1.754,131328.0,gcc_trace.txt,YehPatt
0.619,38.10000000000001,0.5971,1.7429999999999999,40.0,gcc_trace.txt,YehPatt
0.6342999999999999,36.57,0.6159,1.7399999999999998,96.0,gcc_trace.txt,YehPatt
0.6489,35.11,0.6334,1.7420000000000002,224.0,gcc_trace.txt,YehPatt
0.6721000000000001,32.790000000000006,0.66,1.7349999999999999,640.0,gcc_trace.txt,YehPatt
0.7262000000000001,27.380000000000003,0.7179,1.7459999999999998,2688.0,gcc_trace.txt,YehPatt
0.7408,25.920000000000005,0.7351,1.7429999999999999,8960.0,gcc_trace.txt,YehPatt
0.7527,24.729999999999997,0.7506000000000002,1.7399999999999998,33664.0,gcc_trace.txt,YehPatt
0.7611,23.889999999999997,0.7649,1.7659999999999996,132096.0,gcc_trace.txt,YehPatt
0.6674,33.26,0.6532,1.7369999999999997,136.0,gcc_trace.txt,YehPatt
0.6782000000000001,32.18,0.6652000000000001,1.7329999999999999,288.0,gcc_trace.txt,YehPatt
0.6906,30.940000000000005,0.6792,1.7369999999999997,512.0,gcc_trace.txt,YehPatt
0.7073,29.27,0.6965000000000001,1.734,1024.0,gcc_trace.txt,YehPatt
0.8054,19.46,0.8027999999999998,1.7740000000000002,4608.0,gcc_trace.txt,YehPatt
0.8112,18.88,0.8091000000000002,1.768,11264.0,gcc_trace.txt,YehPatt
0.8148,18.520000000000003,0.8141,1.763,36352.0,gcc_trace.txt,YehPatt
0.8147,18.53,0.8173999999999999,1.7810000000000001,135168.0,gcc_trace.txt,YehPatt
0.7457,25.43,0.7392000000000001,1.723,520.0,gcc_trace.txt,YehPatt
0.7672,23.28,0.7626999999999999,1.72,1056.0,gcc_trace.txt,YehPatt
0.7839,21.610000000000003,0.7808,1.7269999999999999,1664.0,gcc_trace.txt,YehPatt
0.7963000000000001,20.37,0.7935,1.72,2560.0,gcc_trace.txt,YehPatt
0.7748,22.520000000000003,0.7718,1.457,3082.0,gcc_trace.txt,GShare
0.8305,16.949999999999996,0.8298,1.4499999999999997,3074.0,gcc_trace.txt,GShare
0.82,18.0,0.8179000000000001,1.4439999999999997,3076.0,gcc_trace.txt,GShare
0.8012,19.88,0.8001000000000001,1.4499999999999997,3078.0,gcc_trace.txt,GShare
